;Chuva(mm)
2006-04-30;4.0289565405335
2006-05-31;2.8724299653959897
2006-06-30;3.2648238020589835
2006-07-31;4.283586245098927
2006-08-31;2.0953791063432945
2006-09-30;4.417424022649189
2006-10-31;4.1582407502069865
2006-11-30;5.593444710406984
2006-12-31;7.069378137517922
2007-01-31;5.931631320367766
2007-02-28;6.701759395378069
2007-03-31;6.216190772899486
2007-04-30;4.073636112496519
2007-05-31;3.981161416225071
2007-06-30;2.581325761348065
2007-07-31;5.121045928898095
2007-08-31;0.4641588833612779
2007-09-30;3.014742251488785
2007-10-31;5.509075924053299
2007-11-30;5.959918020583117
2007-12-31;6.452914173004253
2008-01-31;7.293633029768679
2008-02-29;5.147599975115203
2008-03-31;6.929912842727221
2008-04-30;4.981263207560171
2008-05-31;4.324967422655482
2008-06-30;3.819018232208068
2008-07-31;0.0
2008-08-31;3.7444361936092534
2008-09-30;3.681573838472256
2008-10-31;5.245120182221155
2008-11-30;5.005327654536499
2008-12-31;5.347315740823025
2009-01-31;7.089994502805007
2009-02-28;5.253587872492901
2009-03-31;4.190758212686589
2009-04-30;4.222778730380944
2009-05-31;3.873100005068783
2009-06-30;3.047395429401007
2009-07-31;5.402696412848546
2009-08-31;3.0566994186898366
2009-09-30;5.83729436187447
2009-10-31;5.399268305067176
2009-11-30;6.190203049843839
2009-12-31;6.653167127260741
2010-01-31;8.188741241025562
2010-02-28;5.597703139695868
2010-03-31;6.373490607666724
2010-04-30;4.882598275934799
2010-05-31;3.7515549107338066
2010-06-30;2.7234356815688767
2010-07-31;4.279949922260318
2010-08-31;1.0626585691826111
2010-09-30;4.647769385299165
2010-10-31;4.194550756125289
2010-11-30;5.055384251777622
2010-12-31;6.168378714641969
2011-01-31;7.538469013971804
2011-02-28;7.043941276229405
2011-03-31;6.42396613139425
2011-04-30;5.217103446276167
2011-05-31;3.422799481591006
2011-06-30;4.332083794885018
2011-07-31;1.1447142425533319
2011-08-31;3.6766486501993407
2011-09-30;2.2035754532216254
2011-10-31;6.020301600397938
2011-11-30;4.186958792459802
2011-12-31;7.329175788462761
2012-01-31;7.377261587353723
2012-02-29;6.091199348919784
2012-03-31;5.494760851135803
2012-04-30;5.302644935921312
2012-05-31;4.351534227834241
2012-06-30;3.8888129992749216
2012-07-31;4.725170528451599
2012-08-31;1.5466803737720354
2012-09-30;3.1714915675375255
2012-10-31;4.545223018510191
2012-11-30;5.3601084109653625
2012-12-31;8.541663956638706
2013-01-31;6.851994730492804
2013-02-28;7.19261073183983
2013-03-31;5.593444710406984
2013-04-30;4.693608333002604
2013-05-31;3.4027659153951157
2013-06-30;5.952401168185309
2013-07-31;5.526592976509255
2013-08-31;2.4825450806124043
2013-09-30;3.5595260910209205
2013-10-31;4.801561991649465
2013-11-30;4.246941282450107
2013-12-31;5.191257499255674
2014-01-31;5.7458697497494615
2014-02-28;6.180619328177185
2014-03-31;6.063220412493976
2014-04-30;4.794321989726973
2014-05-31;4.140817749422853
2014-06-30;2.2571787177370006
2014-07-31;3.730116986078985
2014-08-31;2.7368518373992137
2014-09-30;4.3462468177328075
2014-10-31;2.8764642824468325
2014-11-30;5.937310243243101
2014-12-31;6.366096760416892
2015-01-31;6.29372012169974
2015-02-28;6.720262414166874
2015-03-31;6.430421572121731
2015-04-30;4.647769385299165
2015-05-31;4.434440461933264
2015-06-30;2.9395300589358744
2015-07-31;3.97273119212838
2015-08-31;3.4341427276599954
2015-09-30;6.549134551465728
2015-10-31;5.187915726106066
2015-11-30;5.259378549952548
2015-12-31;6.054139643456959
2016-01-31;6.238538996108924
2016-02-29;6.084003595795937
2016-03-31;6.604618744352932
2016-04-30;4.517626341348687
2016-05-31;5.209745039548078
2016-06-30;5.918338040897699
2016-07-31;0.0
2016-08-31;4.348010716797289
2016-09-30;3.075844173015335
2016-10-31;4.889579409657406
2016-11-30;5.6587355406008735
2016-12-31;5.055384251777622
2017-01-31;6.774587966209299
2017-02-28;6.339667408838311
2017-03-31;4.9433608233779225
2017-04-30;5.386661179726245
2017-05-31;5.496968025846419
2017-06-30;4.66621310784695
2017-07-31;0.5848035476425733
2017-08-31;3.7657118558617793
2017-09-30;2.2894284851066637
2017-10-31;4.948811060232639
2017-11-30;5.587044882495263
2017-12-31;5.535310014577836
2018-01-31;6.198889846322945
2018-02-28;4.388191477664564
2018-03-31;6.088502934513033
2018-04-30;4.049387704010914
2018-05-31;2.9548803636849534
2018-06-30;2.46621207433047
2018-07-31;2.7368518373992137
2018-08-31;3.0566994186898366
2018-09-30;4.177429950251501
2018-10-31;5.8809883108987755
2018-11-30;5.118502573163697
2018-12-31;6.366096760416892
2019-01-31;6.774587966209299
2019-02-28;6.807690261582206
2019-03-31;6.8291996944329005
2019-04-30;5.564529201162679
2019-05-31;4.599432822319679
2019-06-30;3.8929964158732604
2019-07-31;5.799881091498008
2019-08-31;1.885203631020986
2019-09-30;4.192655342059655
2019-10-31;4.233964951465041
2019-11-30;5.548334321450592
2019-12-31;6.291194551556287
2020-01-31;7.417465441609866
2020-02-29;7.133492489728306
2020-03-31;4.570893724628956
2020-04-30;1.7758080034852013
2020-05-31;2.3928025107131377
2020-06-30;5.471477686885286
2020-07-31;2.168702885250197
2020-08-31;3.9600183653877368
2020-09-30;2.83973944577827
2020-10-31;5.980492198574833
2020-11-30;5.4524832271556
2020-12-31;6.17415533694011
2021-01-31;7.200334346613613
2021-02-28;5.5838394630409525
2021-03-31;5.165151596463504
2021-04-30;3.819018232208068
2021-05-31;3.37665670834691
2021-06-30;2.493315476119323
2021-07-31;3.361975406798963
2021-08-31;3.5516160069704026
2021-09-30;4.3982086371763485
2021-10-31;5.346149732120376
2021-11-30;4.765140974759481
2021-12-31;6.277690470211081
2022-01-31;7.4793506065912005
2022-02-28;5.146341700810586
2022-03-31;6.158726897188343
2022-04-30;3.4313139432434183
2022-05-31;4.067601087196606
2022-06-30;3.5804495757820107
2022-07-31;2.0645602309127344
2022-08-31;3.277285082402583
2022-09-30;5.082627033165009
2022-10-31;4.895149997681573
2022-11-30;5.825531520201611
2022-12-31;5.851931570500544
